adshex,altitude1,altitude2,altitude3,altitude4,altitude5,steer1,steer2,steer3,steer4,steer5,steer6,steer7,steer8,squawk_1,spy_prob
A4CB6F,0.28252427184466017,0.14466019417475728,0.3796116504854369,0.02330097087378641,0.16990291262135923,0.007820136852394917,0.005865102639296188,0.033235581622678395,0.8084066471163245,0.09188660801564028,0.03812316715542522,0.007820136852394917,0.006842619745845552,3444,0.01072691197691197
4CA4F2,0.13333333333333333,0.16765119549929677,0.06835443037974684,0.2419127988748242,0.3887482419127989,0.0031099802092168505,0.0036754311563471868,0.03477523324851569,0.7729714447271699,0.15323720667232119,0.02883799830364716,0.0011309018942606728,0.0022618037885213456,3107,0.010704906204906202
A01567,0.1872809213820731,0.299949924887331,0.06960440660991488,0.21081622433650477,0.23234852278417625,0.0015120967741935483,0.003528225806451613,0.03679435483870968,0.7273185483870968,0.18044354838709678,0.04435483870967742,0.003528225806451613,0.0025201612903225806,3335,0.010704906204906202
40621C,0.09960508995173321,0.42079859587538393,0.07240017551557701,0.40544098288723124,0.0017551557700745941,0.002204585537918871,0.001763668430335097,0.018518518518518517,0.7724867724867724,0.18915343915343916,0.014109347442680775,0.0008818342151675485,0.0008818342151675485,3524,0.010704906204906202
406B8E,0.09965928449744463,0.10136286201022146,0.06942078364565588,0.2938671209540034,0.4356899488926746,0.0004286326618088298,0.0017145306472353193,0.021431633090441493,0.7792541791684526,0.17145306472353194,0.02486069438491213,0.0004286326618088298,0.0004286326618088298,3560,0.010704906204906202
4B160E,0.18088235294117647,0.16715686274509803,0.07303921568627451,0.4235294117647059,0.1553921568627451,0.005928853754940711,0.008399209486166008,0.02766798418972332,0.7643280632411067,0.1566205533596838,0.029644268774703556,0.001976284584980237,0.005434782608695652,3011,0.010704906204906202
C02201,0.14398034398034398,0.29533169533169534,0.0683046683046683,0.0171990171990172,0.4751842751842752,0.004518072289156626,0.0030120481927710845,0.03413654618473896,0.7454819277108433,0.18022088353413654,0.029116465863453816,0.0015060240963855422,0.002008032128514056,3632,0.010704906204906202
4B9848,0.12338530066815145,0.1398663697104677,0.07305122494432072,0.5741648106904231,0.08953229398663697,0.00354295837023915,0.002657218777679362,0.025686448184233834,0.7674933569530558,0.17271922054915856,0.023914968999114262,0.002657218777679362,0.001328609388839681,3201,0.010704906204906202
4CA280,0.1347647327546825,0.09776153494746459,0.07217907720420283,0.66925536774783,0.02603928734582001,0.001827318410232983,0.0013704888076747374,0.03197807217907721,0.8035632708999543,0.13430790315212426,0.02466879853814527,0.00045682960255824577,0.001827318410232983,3426,0.010704906204906202
780504,0.10542321338063862,0.4718702483527623,0.06994424733907754,0.35276229092752154,0.0,0.0035587188612099642,0.0020335536349771225,0.027961362480935434,0.7239450940518556,0.21148957803762075,0.027961362480935434,0.0010167768174885613,0.0020335536349771225,3522,0.010704906204906202
A98382,0.05399682371625199,0.07464266807834834,0.06934886183165696,0.25039703546850184,0.5516146109052409,0.002131060202450719,0.002131060202450719,0.014384656366542355,0.8220564730953649,0.1427810335641982,0.014384656366542355,0.0010655301012253596,0.0010655301012253596,3533,0.010704906204906202
ABC0C1,0.1219255094869993,0.18552354181307099,0.07027406886858749,0.1921995783555868,0.43007730147575546,0.0038787023977433005,0.001763046544428773,0.021861777150916785,0.7792665726375176,0.16854724964739068,0.019393511988716503,0.002468265162200282,0.0028208744710860366,3710,0.010704906204906202
867F82,0.109375,0.4418402777777778,0.0720486111111111,0.3758680555555556,0.0008680555555555555,0.0026086956521739132,0.006956521739130435,0.02608695652173913,0.7608695652173914,0.17478260869565218,0.026956521739130435,0.0008695652173913044,0.0008695652173913044,3520,0.010704906204906202
4CA505,0.16427579824155483,0.0953262378528459,0.07311429893567793,0.6191577973160574,0.04812586765386395,0.0032527881040892194,0.006970260223048327,0.03066914498141264,0.7407063197026023,0.17518587360594795,0.03856877323420074,0.0032527881040892194,0.0013940520446096654,3527,0.010704906204906202
4BAA4E,0.08613861386138613,0.200990099009901,0.31584158415841584,0.39603960396039606,0.0009900990099009901,0.0029850746268656717,0.006965174129353234,0.056716417910447764,0.6766169154228856,0.18507462686567164,0.0626865671641791,0.006965174129353234,0.001990049751243781,3205,0.010624098124098121
A74679,0.2140486725663717,0.42146017699115046,0.3407079646017699,0.02157079646017699,0.0022123893805309734,0.0038953811908736783,0.004451864218141347,0.05342237061769616,0.6638842515303284,0.21035058430717862,0.06065664997217585,0.0011129660545353367,0.0022259321090706734,3126,0.010624098124098121
AD5398,0.13825569871159563,0.11199207135777998,0.19127849355797819,0.13280475718533202,0.42566897918731417,0.004470938897168405,0.0024838549428713363,0.025832091405861898,0.7605563835072032,0.17734724292101342,0.026825633383010434,0.0024838549428713363,0.0,3704,0.010593795093795091
406CD0,0.38491048593350385,0.27067348678601877,0.19096334185848252,0.1534526854219949,0.0,0.005569837189374464,0.006426735218508998,0.038131962296486716,0.7446443873179092,0.15124250214224508,0.048414738646101116,0.0038560411311053984,0.001713796058269066,4065,0.010593795093795091
ABDC56,0.19077809798270892,0.11757925072046109,0.1244956772334294,0.15734870317002883,0.4097982708933718,0.004103165298944901,0.004103165298944901,0.06037514654161782,0.6834701055099648,0.1764361078546307,0.06565064478311841,0.0035169988276670576,0.0023446658851113715,4144,0.010593795093795091
76CEE8,0.10400866738894908,0.2865655471289274,0.19068255687973998,0.41874322860238355,0.0,0.0027129679869777536,0.002170374389582203,0.033098209441128595,0.7335865436787846,0.19533369506239825,0.02930005425935974,0.0016277807921866521,0.002170374389582203,3260,0.010593795093795091
4951D5,0.13689839572192514,0.11372549019607843,0.07379679144385026,0.33119429590017824,0.3443850267379679,0.0035714285714285713,0.005714285714285714,0.0375,0.7164285714285714,0.20142857142857143,0.0325,0.0014285714285714286,0.0014285714285714286,3536,0.010523088023088021
468451,0.22638680659670166,0.42528735632183906,0.33483258370814595,0.0,0.013493253373313344,0.007049345417925478,0.008559919436052367,0.03272910372608258,0.7104733131923464,0.19687814702920442,0.0377643504531722,0.002014098690835851,0.004531722054380665,4123,0.01052236652236652
4B1902,0.14011676396997497,0.07756463719766472,0.45204336947456214,0.0050041701417848205,0.32527105921601335,0.008361204013377926,0.002508361204013378,0.03678929765886288,0.6872909698996655,0.22324414715719063,0.03762541806020067,0.0016722408026755853,0.002508361204013378,3070,0.01052236652236652
